Comment,Toxic,Severe Toxic,Obscene,Threat,Insult,Identity Hate
Why didn’t any of the onlookers do anything!?,4.38,0.19,1.25,0.19,1.7,0.48
He still had his knee on his neck when the ambulance came.. this is sad😪,1.79,0.04,0.43,0.03,0.63,0.12
"Officer: kills guy
Also officer: we'll figure things out",72.16,0.86,29.84,0.5,18.64,1.95
"I’m so angry right now.  God bless Floyd’s family, and May true justice be served.",4.38,0.01,0.64,0.01,0.74,0.05
Officers didnt realise he was dying.  Hut he was unresponsive.  Strange situation.,5.94,0.35,1.85,0.36,2.46,0.81
Brilliant piece of journalism! Well done on this👍🏿,2.18,0.05,0.53,0.05,0.77,0.16
F tha police / NWA,27.2,1.07,7.85,0.91,7.75,2.22
They where literally suffocating him the fact that he begged them to stop and they didn’t u can tell they did it on purpose when will racism ever stop,6.89,0.41,2.11,0.41,2.61,0.88
"Made me tear up when I heard that he called out for his ""mama"", although she had passed away 2 yrs ago.",0.64,0.0,0.12,0.0,0.19,0.02
"Heart itching , really sad to see this cops merciless,  one innocent human life have taken , very extremely pressure of knee on his neck , why ??? What's the need to do that? Around 8-10 minutes , strict action Must take for justice and for future actions.",29.03,0.08,4.58,0.05,3.76,0.24
"""That's not a chip on my shoulder, that's your foot on my neck""- Malcolm X",7.29,0.42,2.26,0.41,2.75,0.93
Why is so much body cam footage missing?  What are Minneapolis Police hiding?,1.44,0.02,0.3,0.02,0.45,0.08
Ridiculous. .so sad they done that to that poor man,1.48,0.02,0.32,0.02,0.49,0.08
"As a person living in Minnesota, I am ashamed of this.",2.24,0.05,0.51,0.05,0.74,0.15
Sorry jail,1.8,0.03,0.42,0.03,0.62,0.12
Black livs,9.38,0.87,3.33,0.89,4.16,1.67
George Floyd will be the guiding light for all victims of racism around the world. May his soul Rest in Peace.,0.23,0.0,0.03,0.0,0.04,0.0
Black lives matter I am black there is no reason to hating on us God made me who I am and there is nothing wrong with that 😭😭😭😭😭😭😭😭😭😭😭,0.63,0.0,0.1,0.0,0.17,0.02
Rest In Peace is the best I can say for this man who’s death came decades too early. So unnecessary,0.54,0.0,0.09,0.0,0.16,0.02
Look at the cop clip date 5-26-2020 guess you should have cleared that up in the beginning like the 21 minute difference. It’s a Shane to exploit this man’s death.,1.84,0.02,0.38,0.02,0.53,0.08
Seriously. Kneeling on his neck? It's not like he would be running away anywhere in handcuffs. Disgusting!,3.53,0.14,1.0,0.14,1.4,0.38
"Why didn,t the police see the white packet floyd stopped when sitting down?",1.79,0.03,0.42,0.03,0.59,0.12
Those employees probably wish they had not call the police,7.62,0.26,2.08,0.25,2.5,0.59
Such a heartbreaking scene.. The police officers should be prisoned for life.,3.63,0.14,1.05,0.14,1.46,0.38
:( there was absolutely no reason for this,1.53,0.02,0.32,0.02,0.48,0.08
Do you ever look at someone and wonder what is going on inside their head,4.26,0.17,1.24,0.17,1.63,0.4
The officer should be in prison 4 lyf,1.63,0.03,0.35,0.03,0.53,0.09
This was so uncalled for prayers to his family,1.05,0.01,0.21,0.01,0.33,0.05
Why called ambulance when you keep doing the same thing by kneeling on his neck even when medics were checking him.,2.29,0.06,0.56,0.06,0.82,0.18
I can't believe this I want to cry my eyes out rn,4.84,0.23,1.41,0.23,1.88,0.54
"I was teared up, yes. But when it really hurt me was when he lifts his knee from his neck and you can see how terribly hurt he is. He barely looks alive and his neck looks broken. I dont know a lot about his condition, but to me he looked terribly hurt. Like - if he had survived im pretty sure his neck would've been broken. This is so ridiculous and I can believe that in 2020 we are still having issues with ""white v black"" Im so sick of this and it needs to be stopped. This is racism and I cant even word my disgust for those police officers.",1.18,0.0,0.22,0.0,0.22,0.02
I am disgusted. Why should he be treated differently because of his skin colour? You could HEAR him saying that he couldn't breathe. And what did he do? CONTINUE. This is absolutely disgusting behavior and I cannot believe anyone can even have the messed up mind to do this. I'm sorry George.,0.72,0.01,0.14,0.01,0.22,0.02
When he said “I can’t breath” I can’t be the only one who started to cry right? 3rd degree is where you killed somebody but you didnt mean to and to be honest I don’t know if it was 3rd degree or 1st 🥺 I think it’s first bc he was hand cuffed he wouldn’t of been able to go anywhere so why was he trying to pin him down? To at the very least hurt him 🥺😥,4.23,0.2,1.3,0.18,1.68,0.46
To Derek Chauvin...,5.38,0.3,1.66,0.3,2.22,0.72
"George Floyd ... 1998 ten years for armed robbery, 2002 8 months for cocaine possession, 2004 ten months for cocaine possession, 2005 ten months for cocaine possession, 2007 five years for armed robbery.  He paid counterfeit dollars at the last arrest, was drunk and fetishized ....",0.45,0.0,0.07,0.0,0.09,0.01
So did he just keep his on him even after he's all passed out dead WTF,3.14,0.09,0.84,0.09,1.11,0.27
They wouldn’t even check for a pulse when he became unresponsive 😱😠😭,1.46,0.02,0.3,0.02,0.45,0.07
The ex cop with the knee on George's kneck is evil. Justice for George and his family!,4.36,0.2,1.27,0.19,1.69,0.46
This is just one recorded case. Who knows how many of such cases go unrecognized.,1.34,0.02,0.27,0.02,0.41,0.06
"When he started saying “please, please, please, I can’t breathe, man. “
My heart broke ♡︎☆ ⒷⓁⒶⒸⓀ ⓁⒾⓋⒺⓈ Ⓜ︎ⒶⓉⓉⒺⓇ! ☆♡︎",54.47,0.55,19.5,0.36,10.57,1.18
"6:39 Very Chilling to see the Separate Police Officers (In different uniform  come take him away NO CPR 
LOOKS MUCH LIKE CONSPIRACY",0.37,0.0,0.06,0.0,0.11,0.01
"I'm from Asia and was totally clueless about the controversy over this insident so I figured I'd search it up and oh boy was this disturbing to say the least. 

The first minute of the video I was still kinda confused, but as the story was being told it gave me an uneasy feeling. When I saw the guy being wrongfuly pinned down and gasping for air while call for help made my gut wrench and made me furious as to why would anyone do that? He was already handcuffed and there were literally 3 police cars with dozens of officers there why did they need to pin him down? From what I've learned over the years America has not been the kindest to African-Americans, to say the least, and them doing this horrid act it was clear no good would come from this. ",15.82,0.0,1.69,0.0,1.02,0.02
Having a black skin is infinite times better than having a black heart.,1.75,0.04,0.42,0.03,0.63,0.13
BRO IF HE CANT BREATH THEN STOP MOVE YOUR BIG BODY OFF OF HIS NECK,6.24,0.33,1.91,0.35,2.39,0.78
Why 😭🙏🏾❤️,6.7,0.43,2.15,0.45,2.76,0.94
Just gloss over the fact he dropped his drugs and nobody covers it,1.65,0.03,0.38,0.03,0.58,0.1
"omgg when he says ""mama""... my heart brokeee",5.66,0.31,1.76,0.33,2.29,0.75
I'm sure that would pay off my bad deeds when I was a teen.,4.72,0.05,0.87,0.05,1.1,0.17
That’s just not cool he died for no reason it’s such a tradity,4.18,0.16,1.16,0.17,1.56,0.42
Omg most videos of George are gonna an then I find this so I could share Facebook and twitter but share buttons are now gone 😳 wtf?,2.53,0.07,0.64,0.06,0.92,0.2
It's so sad - by the way I'm using my grandpa account,2.89,0.09,0.76,0.09,1.06,0.26
finally the wp does something right,2.26,0.05,0.55,0.05,0.79,0.16
George come back please 🥺🥺🥺🥺😭😭😭😭😭,1.53,0.02,0.33,0.02,0.5,0.09
"ما في  فرق  عندنا العرب  يعطونا  رصاص  وبتموت بسرعه

وعند امريكا  اللعينه ويدعسون على
رقابهم  ويموتون بعذاب",8.66,0.75,3.0,0.76,3.78,1.46
We do not deserve this I just can’t plz plz help us I can’t breath🥺😭😭😭😭😭😭STOP JUST STOP IT WE DONT NEED THIS PLZ,2.86,0.08,0.72,0.08,1.03,0.23
Justice for Floyd ✊🏻✊🏼✊🏽✊🏾✊🏿,4.28,0.19,1.28,0.2,1.73,0.49
this makes me so mad...,6.51,0.39,2.0,0.4,2.57,0.84
I can't except my age but I don't know if I want to watch it,2.91,0.08,0.78,0.08,1.08,0.23
Wow 😭😭😭,4.0,0.16,1.13,0.17,1.56,0.43
Rip George Flord,4.07,0.16,1.14,0.17,1.57,0.43
This breaks my heart to watch this. When he cried out for his mom my heart broke because I imagine my black son being in this position. To everyone fighting the injustice and brutality are badass and need to keep fighting.,5.37,0.18,1.44,0.18,1.74,0.47
😭😭😭,8.18,0.67,2.81,0.68,3.59,1.35
😭,8.66,0.76,3.03,0.77,3.85,1.5
R.I.P George Floyd,1.57,0.02,0.34,0.02,0.52,0.08
"Man,I cant watch this without crying",1.29,0.02,0.28,0.02,0.43,0.07
I thought the cops pulled his knee to his neck no one told me they just put his knee down on him,13.41,0.12,2.92,0.1,2.39,0.36
They jaywalked at 1:50 as well. charge them with that too lol,3.86,0.15,1.07,0.15,1.47,0.39
Who picked him up in the ambulance? They look like they're in officer uniforms. Were they really EMS? Why not help him on the scene? I say calling the Fire Dept. was part of a cover up. More cops carried him away in that ambulance.,16.0,0.08,4.0,0.06,2.47,0.3
"الله  يمزق  امريكا  ويبدل قوتها
ضعفٱ   وهوانٱ
الان   طواغيتنا  با يقلدوهم
وبيدعسون  ع  رقابنا",8.66,0.75,3.0,0.76,3.78,1.46
"There is so much wrong about this video!
God bless the Floyd family!
I'm caucasian 
Black lives matter!",0.16,0.0,0.02,0.0,0.04,0.0
why?,6.7,0.43,2.15,0.45,2.76,0.94
Heartbroken. God bless you George. Literally crying for you dear George.,2.15,0.05,0.53,0.05,0.77,0.15
Messed up. Hope he gets life in prison,2.47,0.07,0.63,0.07,0.93,0.21
Dead!,4.03,0.15,1.11,0.16,1.52,0.4
So police and George Floyd death yuuuuuuhhh,2.19,0.05,0.51,0.05,0.76,0.15
I’m surprise YouTube allowing this video to be seen.  They be deleting the other real news. 🤔🤔🤔,1.26,0.01,0.23,0.01,0.31,0.04
Respect,90.31,4.71,56.29,2.08,48.54,5.21
why cant i see the footage,1.39,0.02,0.28,0.02,0.44,0.07
They knew they were killing HIM!!!!:(:(:(:(:(:(:(:(:(:(:(:(,1.7,0.03,0.38,0.03,0.58,0.1
"he didnt die a short time after the crime scene
he was murdered at the crime scene",2.66,0.02,0.55,0.02,0.58,0.09
That cops mrs will be seeing someone else now  awww poor cop  poor boy 😲👋,95.33,1.77,68.72,0.31,53.08,1.48
:0,8.66,0.75,3.0,0.76,3.78,1.46
Where the video of the baggy?,1.07,0.01,0.21,0.01,0.32,0.04
Rip cj,9.06,0.82,3.18,0.84,4.05,1.6
BLM,8.39,0.7,2.91,0.72,3.69,1.4
A Ford Mercury?,6.65,0.47,2.19,0.47,2.88,1.04
Even the paramedics were cops,2.82,0.08,0.73,0.08,1.02,0.24
Rip George,2.08,0.04,0.46,0.04,0.68,0.13
How can we stop this happening again?,4.37,0.19,1.23,0.19,1.68,0.46
Why,6.7,0.43,2.15,0.45,2.76,0.94
What happened I dont understand,3.85,0.15,1.07,0.15,1.47,0.4
You  KNOW soooooo much,4.81,0.25,1.47,0.25,1.96,0.59
"4 guys and keeping the knee on his neck while he was on the floor? Even when he was not moving, he still with his knee on his neck! He was dead, they just didn't confirm right there just to cover the police",0.55,0.0,0.11,0.0,0.18,0.02
Why’s the police license plate say police 🤨,1.49,0.02,0.31,0.02,0.47,0.08
This just pisses me off really,6.15,0.21,1.67,0.22,2.01,0.55
Justice for Georges,2.82,0.07,0.69,0.07,0.96,0.21
Every empire has an end.,4.21,0.19,1.24,0.19,1.68,0.48
I think that all military in the operation have fault .,2.6,0.07,0.68,0.07,0.97,0.22
"Where is Peace&Where is Human Right?

Stop killing🙏😭....",2.74,0.07,0.66,0.07,0.95,0.21
"Those police officers are heartless, ruthless😭😭😭... How many more will have to die this way... This is merciless 😢😢",8.08,0.34,2.6,0.37,2.63,0.87
Whoever killed George Is gonna go to hell,47.34,0.99,14.15,0.6,12.84,1.55
Wait so did Floyd do anything illegal or was it a misunderstanding?,2.36,0.05,0.55,0.05,0.79,0.16
You can tell the cop wanted him dead like it was personal something seems fishy,1.43,0.02,0.3,0.02,0.45,0.07
Very sad!!!,7.4,0.54,2.44,0.55,3.12,1.11
That is disgusting😭😭😭,4.14,0.15,1.12,0.16,1.53,0.39
Biased narrator. The other officers were kneeling on floyd back.,2.67,0.08,0.72,0.07,1.0,0.22
Wtf. . .😠🤬,75.1,3.29,33.98,1.81,31.14,4.42
"3 strikes your doing life..this cop has 17  ""strikes ""reports and it comes to the final day..where he can't get away nor protected..",4.59,0.22,1.4,0.22,1.83,0.56
Crying out for,6.04,0.36,1.89,0.37,2.48,0.81
Well constructed story to cover for the human trafficking these men were all involved in.,0.29,0.0,0.04,0.0,0.08,0.01
"Segregation will never end from whites,",2.36,0.06,0.6,0.06,0.87,0.19
Why did they call an ambulance as soon as they started kneeling on his neck? Did they plan on hurting him that badly?,0.58,0.0,0.1,0.0,0.17,0.02
👊👊🏻👊🏼👊🏽👊🏾👊🏿 it is to floyed,3.98,0.15,1.08,0.15,1.48,0.38
I wont,7.55,0.59,2.53,0.59,3.31,1.24
press the carotis with your knee for a few minutes and that's it. this police technique is murderous,0.91,0.01,0.17,0.01,0.27,0.04
People die from cops all the time and cops get away with it. But suddenly now that's was the last straw?,28.59,0.92,7.96,0.73,7.61,1.92
so sad crying who would do such a thing,2.79,0.07,0.7,0.08,1.0,0.22
"FTP, i only like nice cops",19.24,1.76,6.38,1.69,7.47,2.91
Why didn't the people filming step in and help Floyd?,3.44,0.12,0.92,0.12,1.31,0.33
Is the police dumb or what?,1.51,0.02,0.32,0.02,0.49,0.09
If i met that officer in person god knows what i would be saying to him🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,59.34,0.18,13.39,0.09,8.39,0.37
WTF who are they to f do this,85.18,4.38,43.39,2.25,36.96,5.23
"Arrest the one who took the video, that person could have done somehing , yes?",0.31,0.0,0.05,0.0,0.08,0.01
So cops call for the paramedics and fire fighters because they just straight up murdered a guy,82.11,0.34,29.6,0.1,22.71,0.49
Tip geo rge,3.18,0.1,0.84,0.1,1.2,0.29
"A polícia não devia fazer isso com cidadãos, mas com políticos que roubam a nação.",7.29,0.58,2.45,0.57,3.22,1.19
Murderer,8.24,0.68,2.83,0.69,3.6,1.36
People will probably try to take revenge on chauvin'a family,3.72,0.15,1.07,0.15,1.47,0.39
This is crazy,3.32,0.1,0.84,0.1,1.18,0.26
MARSHALL LAW.  NOW,3.96,0.16,1.14,0.16,1.59,0.45
Ok why the ambulance wait till the officer was done??,0.24,0.0,0.03,0.0,0.06,0.0
All lives matter don't break the law an this wouldn't have happ7,18.57,0.17,4.21,0.16,3.18,0.5
SPREAD THE WORD DO NOT BE SILENT,2.1,0.04,0.49,0.04,0.72,0.14
You know at the academy..they'll pepper spray the cadets to see how it feels..they should have some people sit on their necks to feel..how it feels..they get tasted...dogs attack but no sitting on their necks..,3.78,0.12,1.02,0.12,1.33,0.32
ok im mad at the people who add time to call or stand up to the cop but nobody did that,0.55,0.0,0.09,0.0,0.15,0.02
Shame on them SHAME!!!!!!!!!,3.85,0.14,1.08,0.15,1.48,0.4
Why was he taken across the street,2.74,0.08,0.69,0.08,1.01,0.23
Who calls the police for counterfeit? I work in retail. We don't do that! There's no way to know if the person is even responsible. Simply ask for another form of payment. I'm disgusted by this whole situation.,0.05,0.0,0.01,0.0,0.01,0.0
coronavirus and now this,6.77,0.47,2.17,0.46,2.85,0.97
No Comment,7.6,0.58,2.53,0.58,3.27,1.21
I'm sure their job is tough at times and mistakes get made but that was just inhumane & inexcusable. I hope that officer struggles to live with what he's done.,0.83,0.01,0.16,0.01,0.26,0.03
Unbelivible,8.66,0.75,3.0,0.76,3.78,1.46
"You see, People were Jumping to conclusions, George Floyd had DRUGS in his body at the time.",0.66,0.0,0.12,0.0,0.19,0.02
It's a lie he died at the hospital that man had no pulse at the scene he was dead when they arrived and they know it.,2.98,0.04,0.69,0.04,0.87,0.15
So  sad,3.62,0.13,0.99,0.13,1.37,0.36
dinghy lips,7.42,0.55,2.47,0.57,3.21,1.16
Don't be surprised if those officers get 2 years! The police union is fierce.,5.36,0.29,1.58,0.28,2.09,0.66
Good riddance.,6.64,0.43,2.16,0.45,2.81,0.98
If have have your foot out like that then the downward pressure is against the shoulder area.,1.58,0.02,0.34,0.02,0.49,0.08
Is the murderer arrested yet?,3.79,0.13,1.0,0.13,1.35,0.34
Stupiiiid!! Officers!!!,4.93,0.24,1.48,0.25,1.98,0.6
Why did he die,58.16,1.63,18.73,0.98,17.7,2.47
"Why this Mr. Policeman, you were 4 cops, G. Floyd was totally pinned to the payment in handcuffs...,so, you cops are cowards...",51.84,0.53,13.5,0.36,10.19,1.07
jesus chrids,5.94,0.34,1.86,0.36,2.44,0.79
Has happened to millions of people before cameras.wake up America!,10.14,0.09,1.93,0.08,1.91,0.29
So many details make no sense,2.68,0.07,0.68,0.07,0.96,0.22
Same like Eric Gardner,7.01,0.48,2.28,0.5,2.94,1.05
Don't policemen have basic life support training? Aren't they supposed to know when an individual is unconcious?,3.02,0.09,0.78,0.09,1.1,0.25
When did paramedics start wearing bulletproof vest and carrying guns??????mmmmhhhhh,3.65,0.14,1.02,0.14,1.41,0.38
"This is terrifying to me, especially since one of my best friends and my boyfriend are both black. They're both wonderful sweet caring people - why should their lives be put in danger because of the way they look? I really hope there are big changes after this... the US should NOT see incidents like this, not in the 21st century. Why can't we just treat everyone equally and spread love instead of hate? George Floyd did something dishonest and illegal but I don't believe he was a bad person, not at all. He made a mistake and paid for it with his life because the cops who reported to the scene were prejudiced. Most cops out there are good cops. I hope those out there without such good hearts learn from this. Be better than this. Everybody deserves better. 💙",2.28,0.01,0.41,0.01,0.41,0.04
"Major abuse of privilege all the cops that let that happen need to do prison time,  the cop who killed him needs to do life in prison without possibility of parole.",0.48,0.0,0.08,0.0,0.13,0.01
"It says alot about our worlds current police as almost everywhere you can now see ""Black Lives Matter""",0.35,0.0,0.05,0.0,0.09,0.01
"Ambulance crew give the game away. No checks, no kit, just throw him on a bed a go. How do that not know he might need a neck brace etc?",3.09,0.05,0.7,0.05,0.9,0.16
I don’t even call the police when I need help anymore. The police are corrupt💔 May we reunite and come together to stop injustice and hate. I love you all and pray everyone can get through this,1.5,0.01,0.21,0.0,0.31,0.03
Stop talking,9.13,0.83,3.21,0.85,4.05,1.6
Why only why,7.33,0.49,2.36,0.51,2.95,1.02
Thanks for making this clear  BLACK LIFES MATTER,0.21,0.0,0.03,0.0,0.05,0.0
# that police😡😡😡😡😡 but goerge will always be remembered 😪😪😪😭😭😭 rest in peace goerge rest in peace,82.92,1.09,45.41,0.51,25.81,2.1
"We need less police, better training for police and more liberty!",1.78,0.03,0.4,0.03,0.59,0.1
This content should not be age restricted it’s important that everyone sees what happened.,0.89,0.01,0.16,0.01,0.26,0.03
"Why Chauvin face in uniform and criminal photo is completely different from neck,Ear and forehead structure",0.85,0.01,0.16,0.01,0.23,0.03
Wow! Fantastic story you concocted. Fake News!,1.87,0.04,0.43,0.04,0.63,0.12
How is this normal,5.74,0.31,1.74,0.31,2.26,0.68
"This was pretty thorough, but I thought a medic asked 6 times to check his pulse and the cops refused?",1.07,0.01,0.22,0.01,0.35,0.05
"His last words were not signs of resistance but the words of a man in pain and agony and the officer’s did not care to listen but took the vote of racism and duty before humanity and fairness,and I think it’s an embarrassment and a shameful way to say that they are police officers",1.11,0.01,0.23,0.01,0.36,0.05
"To all my White brothers & sisters. 

Your silence & some of your insensitive comments is very hurtful and it is exposing the wickedness in your heart.  Let's not forget White & blacks came together and fought against Slavery.  That evil Demonic police officer does not represent all White people.  This nation is prime, ripe & ready for a Revolution & Revival.  But this time it's going to us ( the regular average folks VS the ruling elite) so let's not allow this situation to divide us but let it bring us together. Divided we fall, together we stand STRONG.  Evil will continue if good men & women remain silent.  ",0.63,0.0,0.09,0.0,0.09,0.0
Omg 😱 that’s so wrong.....May God intervene and get justice for this man’s horrible experience in death 💀,0.48,0.0,0.08,0.0,0.13,0.01
And to think that they did this knowing the whole time they were being filmed and it did not stop them.,2.15,0.03,0.44,0.03,0.66,0.11
"Instead of attacking people innocent of such crimes and destroying whatever, such officers are more like what the rioting people should forcefully take and attack unless justice is served- along with any other officers that actively defend them.",0.53,0.0,0.11,0.0,0.18,0.02
The 'struggle' is induced by dirty cops by moving the detained into stress positions. They playing dirty.,1.05,0.01,0.22,0.01,0.35,0.05
Nobody acted....they just... watched...,4.2,0.17,1.17,0.17,1.61,0.44
you can tell that that cop just loved to have his knee on his neck,2.23,0.05,0.54,0.05,0.75,0.15
"Eric Garner was killed just 5 years ago. His last words were also ""I can't breathe.""",1.04,0.01,0.22,0.01,0.34,0.05
Black lives matter i have balck people in my family i am mix this is not right rip George Floyd,2.93,0.07,0.71,0.07,0.94,0.21
Why does this keep happening? I'm tired of hearing stories like this every day on the news.,3.52,0.12,0.94,0.12,1.28,0.33
He was dead at the scene and they know it. They didn't try to help him because he was dead already. If he had come back he would have brain damage i am sure.,1.63,0.03,0.38,0.03,0.57,0.1
Oh my god... “I can’t breathe” it is scary and very sad,3.77,0.13,1.0,0.13,1.38,0.34
Just one day before this there was a white cop killed serving an eviction notice to a black man where I'm from.....where is his justice? Why are there no protests for him?,2.12,0.0,0.22,0.0,0.3,0.02
at least he is in a better place now.,4.45,0.18,1.25,0.19,1.7,0.46
"The fact that he lost his life over $20 is sickening and the police knew him prior to the event 😓😭😤


THIS IS AMERICA‼️ ✊🏾✊🏾💯",1.5,0.02,0.35,0.02,0.51,0.08
this made me cry...,1.93,0.03,0.43,0.03,0.64,0.12
Hitler Nazi in action. This time in police’s uniform.,23.08,0.22,4.65,0.16,4.64,0.6
only 20dollars - to his life i dont understand,5.67,0.33,1.77,0.33,2.32,0.76
"3rd degree? Yeah, I bet! So corrupted",36.26,2.22,11.06,1.77,12.28,3.46
He was having a heart attack at the time but the officer kept his knee on his neck police are sick smh,7.28,0.0,0.65,0.0,0.71,0.02
"Video evidence is strong, police officer need to be held accountable",0.27,0.0,0.04,0.0,0.07,0.0
"Fue un abuso de parte del policía, sus compañeros debieron detenerlo.",5.36,0.28,1.61,0.28,2.13,0.67
This was hard to watch rest in the most peace no one should die like that 💔😔,9.24,0.04,1.32,0.03,1.38,0.12
I wish someone wouldve just kicked the officer away so he gets away from floyd's neck,3.33,0.12,0.94,0.12,1.3,0.35
"""I can't breath..."" This sadly feels like the motto of the oppressed.  I can't watch this without simultaneously feeling unbridled sadness and anger that brings me to tears.  
Love and solidarity with all my brothers and sisters that know the struggle is real, lets keep the pressure turned up to 11. ",3.0,0.09,0.83,0.09,1.1,0.26
Why did Chauvin and the other officer show up after the fact and take over on the scene? Did Chauvin know him from the night club? Was this personal?,8.71,0.06,1.61,0.04,1.63,0.17
"""If you want a vision of the future, imagine a boot stamping on a human face - forever.""
This quote from George Orwell isnt more hauntingly true than now in the difficult times we are facing.
""Always there will be the intoxication of power, constantly increasing and constantly growing subtler.""
Freedoms taken away from us will never be returned without force my friends. All lives matter..",10.97,0.03,3.28,0.02,1.59,0.13
"Heart broken 💔 he never deserved to die... rip George Floyd, fly high angel",2.31,0.02,0.5,0.03,0.56,0.1
"This is cowardly of the cops. Can't believe that they are the ones keeping us ""safe""",2.99,0.08,0.72,0.08,1.0,0.21
RACISM.,5.75,0.33,1.81,0.35,2.38,0.79
"What stands out to me in the entire video when I saw it,it's when he was calling out for his mama...if a grown man calls out for his mum then know he is in the verge of the greatest pain he has ever experienced",7.12,0.02,1.71,0.02,1.07,0.1
You can bet that filth was making mental notes of the people calling him out.,84.63,0.7,35.91,0.25,25.02,1.0
"The Cops saw the cameras so they decided to take Floyd across the street where there was no cameras, why not put him in cruzer right next to George?",3.22,0.0,0.28,0.0,0.31,0.01
"what about the 30 that were killed by their own since the first of the year?????? Oh ya, it was not an  officer that did it!!!! 3 more  in mpls  since, but no protests, no names, they must not count!!  what a crock of BS!!!",1.54,0.03,0.36,0.02,0.53,0.09
It looks like he was tazed too that is why he couldn’t stand and was all flimsy.,6.07,0.28,1.7,0.29,2.21,0.64
HE WAS BEGGING FOR MERCY THAT COP HAS NO HEART,41.2,1.16,11.23,0.75,11.85,1.83
"Reform idea #2: When a perp is resisting arrest for ten minutes, how about simply cuffing his ankles instead of killing him?  There were four cops there and they already had him down, legs secured and torso secured.  It shouldn't be too hard to cuff his ankles at that point.  Sheeesh. So simple.",0.39,0.0,0.07,0.0,0.11,0.01
It is so heartbreaking when the man start to call his mom.,1.6,0.03,0.35,0.03,0.53,0.09
"Excellent! The Post made a laudable effort to reconstruct the facts. The autopsy revealed that George Floyd was high on fentanyl and methamphetamine. The meth is known to cause aggression. He may have been very well have been fighting with the police. I have no way of knowing but excessive force appears to have been used, The other cops should have intervened but didn’t. But what does race have to do with it? There are no apparent facts that the police officer on Floyd's neck isn’t anybody but just another violent person who may very well beat on his wife or girlfriend, regardless of color. George has a long criminal récord. At one point he barged into a pregnant woman's home with a gun, impersonating a government worker. There were four or five men shaking this poor woman down whilst George had a gun shoved into her stomach. He pleaded guilty and spent several years in prison. George Floyd did not deserve to die but he is being portrayed as a petty criminal and he was a violent man, most likely as is the man who caused his death. And how many violent crimes had he gotten away with? I certainly believe peaceful protests have their place. They need permits so crowd control can be planned. However, taking personal outrage to the streets, looting stores for personal gain, damaging property, inciting violent riots, should not be condoned. Many, many people have suffered as a result.",0.4,0.0,0.06,0.0,0.08,0.0
The registration of the Police vehicle the poor man died next to was 'POLICE'. Is that normal in America?,0.64,0.0,0.12,0.0,0.19,0.02
"It breaks my heart to see this. I wanted to believe that this was an accident but you can't kneel on someone's neck for 8 MINUTES and call it an ""accident"".",2.15,0.05,0.53,0.04,0.74,0.15
"So heart breaking,  and the sad part is one day his child will watch this . I can't stop crying",0.75,0.0,0.14,0.0,0.21,0.02
"4:50

 He cut the part when the cop said “oh tough guy you aren’t even resisting” bro that made me so mad",84.29,0.51,37.52,0.2,23.29,0.92
RIP George❤️ we’re still fighting for you!✊🏻✊🏿,1.74,0.03,0.37,0.03,0.55,0.09
"Who edited the Bodycam?

It looks like there are more than just 4 cops defending that lynching.",1.66,0.03,0.38,0.03,0.58,0.1
"What he did was sick, and how unquestioned it went by his partners definitely raises many questions as to how these men are operating off camera. But realistically, lighting cars on fire and throwing rocks at cops ain't going to change the justice system. It'll only raise attention good or bad.",1.72,0.0,0.23,0.0,0.24,0.01
نفس کشیدن حق همه مردم دنیاست. به امید آزادی 🌹🙏🌹,8.66,0.75,3.0,0.76,3.78,1.46
"Im sorry for being slow, but who’s George Floyd and what did he do, to have such a riot?",4.04,0.05,0.83,0.05,0.97,0.18
Not even police in that ambulance. Them armed officers.,1.39,0.02,0.28,0.02,0.42,0.06
That police officer was heartless. Rest in peace George! WE ARE ALL THE SAME!,7.04,0.3,2.03,0.31,2.29,0.74
"2 other officers didnt crouch ""nearby""..... they were literally on top on him too.",2.32,0.05,0.57,0.05,0.82,0.17
Disgusting,14.82,1.29,5.03,1.25,6.04,2.28
R.I.P. George Floyd.  My brother-in-law is an officer and he would have let you breathe.   That's one bad cop.  I hope your family has comfort and justice over this.,1.74,0.02,0.38,0.02,0.53,0.09
Something fishy going on seems like he was killed on purpose,4.31,0.18,1.22,0.18,1.65,0.46
Disgustin g,5.29,0.28,1.61,0.28,2.11,0.65
I feel sick to my stomach watching this.,5.51,0.32,1.71,0.32,2.27,0.75
"Look at time stamp 4:40,  the stream of fluid seen on the ground flowing towards the curb is Urine! He was in full distress at this time & no one noticed!  I don't care what Tribe ( sorry for the edit,  Respect,  Walk ) your from no one deserves to die like this!",1.95,0.0,0.26,0.0,0.3,0.02
This is painful to make thing worse a policeman,1.21,0.01,0.23,0.01,0.36,0.05
Can anybody tell me why the cops called for an emergency ambulance before Mr Floyd became unresponsive ?? I can't figure it out.,2.43,0.06,0.61,0.06,0.87,0.19
“Please please ! I can’t breath!” 😢 that broke my heart,26.09,0.6,6.21,0.5,6.64,1.26
The policeman who killed him has a dead man in his conscious.  He should go To jail for life,2.77,0.08,0.71,0.08,1.0,0.23
Wonder how many people have died like this before cameras were everywhere,1.71,0.03,0.38,0.03,0.57,0.1
Like George didn’t deserve this even if it was about the crime or his skin color WE ARE HUMAN,0.84,0.01,0.16,0.01,0.25,0.03
